id,name,size,brandName,priceString
items_15423-16961459,Wegmans Giant Bread,22 oz,wegmans,$1.49
items_15423-16961443,Wegmans White Bread Made With Whole Grain.,21 oz,wegmans,$2.89
items_15423-102602,Freihofer's Bread  Premium, Italian,20 oz,freihofer's,$4.09
items_15423-2722245,Pepperidge Farm Farmhouse Farmhouse Hearty White Bread,24 oz,pepperidge farm farmhouse,$5.19
items_15423-3257358,J.J. Nissen Bread  Premium, Canadian White,22 oz,j.j. nissen,$4.39
items_15423-16961308,Wegmans Organic White Made With Oatmeal Sandwich Bread,21 oz,wegmans,$6.89
items_15423-22156376,Wegmans Organic Bread  White, Made with Whole Grain, Soft,20 oz,wegmans,$3.49
items_15423-90562,Arnold Country White Bread,24 oz,arnold,$4.59
items_15423-16960709,Wegmans Farmstyle Bread,16 oz,wegmans,$5.19
items_15423-1923522,Calise Bakery Scala Bread  Golden Flax Seed,20 oz,calise bakery,$4.49
items_15423-17815309,Wegmans Pane Italian Bread  Half Loaf,7 oz,wegmans,$2.59
items_15423-68882,Pepperidge Farm®  White White White Bread,16 oz,pepperidge farm®  white,$5.59
items_15423-16961281,Wegmans Farmstyle Bread  Half Loaf,8 oz,wegmans,$3.19
items_15423-3168853,La Brea Bakery Artisan Sandwich Bread  Gluten Free, White, Sliced,13 oz,la brea bakery,$7.49
items_15423-68881,Pepperidge Farm®  Very Thin Very Thin Enriched White Thin Sliced Bread,16 oz,pepperidge farm®  very thin,$5.59
items_15423-19060119,Wegmans Organic Near Our Store White Sourdough Bread  Half Loaf,10 oz,wegmans,$4.39
items_15423-339070,O'Doughs Bread  Vegan, White,24.7 oz,o'doughs,$6.89
items_15423-24837801,Carbonaut Bread  Gluten Free, White,19 oz,carbonaut,$7.49
items_15423-141886,Schar Bread  Gluten-Free, White, Artisan Baker,14.1 oz,schar,$6.89
items_15423-28464,Udi's Sandwich Bread  Soft White,12 oz,udi's,$6.39
items_15423-16962684,Wegmans Sharp Cheddar Shredded Cheese,8 oz,wegmans,$2.59
items_15423-16962593,Wegmans Sharp Cheddar Cheese  Thin Sliced,8 oz,wegmans,$3.09
items_15423-16960745,Wegmans Cheese  Cheddar, Extra Sharp, White,8 oz,wegmans,$2.29
items_15423-16960785,Wegmans Sharp Cheddar Cheese,8 oz,wegmans,$2.29
items_15423-16962874,Wegmans Cracker Cuts  Extra Sharp Cheddar Cheese,10 oz,wegmans,$4.59
items_15423-24475058,Maple Leaf Blueberry Cheddar Cheese,per lb,maple leaf,$6.35
items_15423-16958624,Wegmans 26 Month Aged Cheddar Cheese  Intense,per lb,wegmans,$9.80
items_15423-16959022,Wegmans 12 Month Aged Cheddar Cheese- Mild,per lb,wegmans,$4.60
items_15423-16962666,Wegmans Sharp Cheddar Shredded Cheese,16 oz,wegmans,$4.99
items_15423-16962752,Wegmans Mild Cheddar Fancy Shredded Cheese,8 oz,wegmans,$2.59
items_15423-19119984,Herkimer Cheese Cheddar Cheese & Nut Variety Circles,per lb,herkimer cheese,$5.75
items_15423-25210623,Wegmans Aged Goat Cheddar Cheese,per lb,wegmans,$9.20
items_15423-16962681,Wegmans Mild White Cheddar Shredded Cheese,8 oz,wegmans,$2.59
items_15423-197259,Cabot Cheese  Cheddar, Vermont Seriously Sharp,8 oz,cabot,$4.59
items_15423-236282,Yancey's Fancy Cheese  Pasteurized Process Aged Cheddar, Finger Lakes Champagne,7.6 oz,yancey's fancy,$6.89
items_15423-16960739,Wegmans Cheese  Cheddar, Extra Sharp, Yellow,8 oz,wegmans,$2.29
items_15423-16961951,Wegmans Extra Thin Sliced Mild Cheddar Cheese  20 Slices,7.6 oz,wegmans,$3.09
items_15423-16958733,Carr Valley Cheese Applewood Smoked Cheddar Cheese,per lb,carr valley cheese,$9.20
items_15423-16958813,Tillamook Extra Sharp Cheddar Cheese,per lb,tillamook,$8.05
items_15423-22145168,Wegmans Cheese  ParmCheddar,per pound,wegmans,$4.60
items_15423-21113335,Wegmans Ground Beef 80/20,per pound,wegmans,$6.09
items_15423-21116405,Wegmans Ground Beef 90/10,per pound,wegmans,$6.69
items_15423-24067311,Wegmans Organic Beef  Ground, Grass Fed, 93/7, FAMILY PACK,48 oz,wegmans,$24.49
items_15423-24067330,Wegmans Organic Beef  Ground, Grass Fed, 93/7,16 oz,wegmans,$9.79
items_15423-21116403,Wegmans Ground Beef 80/20 FAMILY PACK,per lb,wegmans,$25.74
items_15423-21109545,Wegmans 95/5 Ground Beef,per pound,wegmans,$9.19
items_15423-16961957,Wegmans Ground Angus Beef  80/20,16 oz,wegmans,$8.69
items_15423-21116406,Wegmans Ground Beef 90/10   FAMILY PACK,per lb,wegmans,$29.94
items_15423-21309056,Meatloaf Mix,each,null,$8.09
items_15423-17292601,Thomas Farms Beef  Ground, Organic, Grass Fed, 85%/15%,1 lb,thomas farms,$8.39
